日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,富貴角,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2017-01-01,40.65,27.83,21.48,34.24,24.28,26.84,25.67,32.12,20.35,21.02,28.12,16.83,21.06,15.79,15.29,27.11,18.15,17.62,15.93,7.95,20.51,19.97,18.28,16.8,14.92,17.02,14.7,16.32,19.66,18.2,17.13,19.06,18.29,20.88,16.85,17.15,22.75,19.63,18.69,20.83,21.69,18.87,24.02,13.45,11.76,8.55,7.36,11.77,45.59,45.05,48.33,40.63,43.01,48.44,10.11,44.89,43.59,38.01,29.91,42.29,44.97,37.6,44.02,31.4,30.32,33.59,32.89,39.85,35.55,27.74,33.11,38.4,36.51,35.33
2017-02-01,42.18,30.71,23.27,34.23,26.41,27.76,26.3,31.94,21.9,22.95,27.58,19.67,22.91,17.97,17.81,27.11,20.05,19.89,18.12,12.03,22.14,22.18,21.39,19.52,16.17,19.03,19.04,18.79,22.09,21.72,19.37,20.21,20.26,21.96,19.33,20.58,24.81,21.51,24.59,21.89,24.0,19.35,24.3,15.87,14.13,12.5,10.28,14.05,40.68,41.91,46.31,42.92,39.63,44.33,12.03,43.09,42.12,34.94,29.91,40.49,42.26,35.1,47.05,33.67,32.75,36.15,35.15,40.21,37.54,29.57,34.36,38.7,39.58,37.02
2017-03-01,43.73,35.29,28.64,41.45,29.41,30.54,29.51,38.11,22.13,26.37,32.71,20.7,23.74,19.85,18.57,27.11,23.15,22.56,18.62,14.0,23.47,21.86,23.44,20.34,18.19,21.28,20.57,21.77,23.13,22.87,23.02,21.48,23.08,23.31,22.17,21.04,26.36,24.4,25.89,25.06,23.13,21.44,25.23,16.59,14.15,11.26,11.69,14.63,40.0,43.0,45.55,40.36,37.38,39.82,14.27,40.34,34.46,35.51,29.91,37.05,37.92,33.26,43.01,36.93,35.88,40.12,39.88,40.26,38.77,32.01,36.7,38.21,39.9,37.93
2017-04-01,31.64,31.81,28.31,23.57,26.65,24.96,26.81,29.9,21.54,24.16,30.89,22.77,23.47,23.91,20.18,27.11,25.29,25.22,20.74,15.38,24.14,23.71,23.12,21.99,23.14,24.64,22.67,21.82,25.66,25.27,23.64,22.16,24.57,26.29,24.52,23.29,29.17,23.29,26.64,24.43,20.3,19.43,24.33,17.1,16.42,11.46,11.76,17.2,25.28,26.55,29.4,24.37,25.79,23.28,8.87,27.98,24.07,23.97,20.78,23.77,23.87,22.29,29.37,28.28,32.8,34.14,35.46,30.29,29.76,26.43,25.63,26.3,30.74,26.36
2017-05-01,25.43,24.47,21.87,19.66,20.96,17.17,22.34,22.32,18.36,18.45,24.12,16.4,15.49,17.08,14.68,27.11,18.27,18.29,14.63,11.08,18.8,16.14,16.73,15.75,15.16,17.34,15.26,15.89,17.76,16.85,15.72,15.61,17.49,19.0,16.8,15.74,21.76,19.22,20.8,18.23,14.09,15.33,20.9,10.12,9.27,7.5,7.91,11.44,21.37,23.03,24.14,21.31,22.13,17.87,6.34,23.28,20.8,22.96,17.9,20.61,19.93,18.18,24.51,23.02,26.37,26.38,28.12,24.6,24.08,21.08,21.32,21.71,24.91,21.62
2017-06-01,12.21,13.78,10.82,11.15,9.95,10.94,10.87,8.4,12.25,9.67,13.8,13.04,12.63,12.02,12.63,27.11,14.02,12.9,13.87,9.13,12.83,12.16,12.44,13.53,12.97,14.9,13.46,10.29,11.78,15.12,13.24,14.24,14.89,16.38,13.15,10.43,12.81,15.52,13.71,8.72,8.07,8.6,12.25,8.32,9.36,7.27,8.88,9.41,7.67,7.2,10.51,6.81,9.07,10.02,8.83,8.99,10.34,12.71,9.41,7.39,8.31,7.83,9.31,10.51,13.97,12.52,14.82,9.89,10.09,10.02,9.2,8.54,11.42,8.42
2017-07-01,15.99,15.91,12.21,14.05,13.49,13.93,15.39,13.88,15.35,10.54,17.23,13.73,12.3,9.66,12.27,27.11,15.54,12.6,11.18,9.43,14.88,14.29,13.09,13.99,10.98,13.44,13.91,7.85,12.54,14.24,13.03,14.44,15.0,14.66,11.03,11.99,13.23,13.78,12.96,11.96,9.17,11.45,12.37,7.1,10.4,3.91,5.88,7.35,12.95,11.54,15.52,14.94,12.34,12.43,8.33,13.25,13.98,16.57,11.53,11.28,11.59,13.13,12.91,14.46,18.2,17.17,19.47,13.81,13.99,13.64,12.91,12.7,14.84,12.62
2017-08-01,18.08,17.04,13.53,15.68,14.99,16.94,16.51,16.65,17.29,15.08,17.74,15.89,15.6,12.53,14.88,27.11,15.87,13.87,14.37,12.25,15.94,13.7,14.62,16.29,11.35,15.86,15.62,9.37,14.72,18.29,13.95,17.46,15.34,18.38,13.3,13.23,14.42,15.13,14.83,15.55,9.77,12.86,14.95,13.16,16.24,8.23,8.7,11.87,14.9,14.23,16.76,15.88,13.94,16.33,7.0,13.24,15.32,17.82,9.86,12.0,14.22,16.45,13.78,13.29,17.2,15.49,18.01,13.99,13.39,13.4,13.08,12.9,15.6,12.09
2017-09-01,27.04,22.9,19.2,23.69,22.76,20.08,23.91,22.99,20.76,23.22,26.48,18.39,17.35,13.08,16.85,27.11,21.08,16.14,16.12,13.36,20.47,18.17,19.05,18.63,14.54,18.6,17.56,16.96,18.99,19.98,18.45,20.44,18.16,18.13,17.03,17.75,23.14,18.86,20.21,23.6,17.07,20.08,21.37,12.22,15.0,7.55,8.28,10.33,20.44,21.07,22.62,22.24,19.88,21.12,8.34,19.74,21.4,24.56,21.22,19.57,19.16,22.64,20.55,22.62,24.61,25.12,27.04,23.94,23.07,19.36,21.44,19.11,24.45,20.6
2017-10-01,29.34,22.96,17.1,23.33,20.04,22.87,21.19,23.03,17.41,21.3,23.05,14.21,14.37,11.42,13.62,27.11,15.06,12.97,14.18,8.06,16.06,14.76,14.65,13.85,11.55,14.54,13.68,14.55,19.07,18.16,14.72,13.9,15.29,13.89,12.2,13.27,20.47,15.75,15.65,22.7,15.76,16.03,20.23,10.89,13.71,9.48,9.64,10.74,26.38,31.78,30.55,28.49,26.35,29.15,12.14,27.13,24.76,24.96,27.77,27.68,26.42,29.16,25.41,22.9,26.11,26.27,27.39,25.69,23.7,20.27,24.66,23.7,23.17,23.86
2017-11-01,37.36,22.57,13.48,25.31,17.92,15.59,19.09,25.08,15.34,20.48,20.11,11.14,11.77,10.79,10.6,20.01,14.19,10.46,10.15,3.74,14.27,13.32,12.68,11.4,8.6,11.95,10.47,10.92,18.67,14.39,13.53,11.78,13.13,13.51,11.73,12.03,18.64,16.85,13.26,21.32,15.37,14.32,19.16,8.0,6.74,6.7,8.93,6.99,39.23,43.68,38.4,38.93,43.37,40.18,10.84,40.52,39.79,30.93,32.41,40.43,39.04,35.89,40.13,26.56,22.17,26.4,26.11,30.05,27.88,22.16,27.69,29.38,26.38,29.74
